rev_ID,drugName,condition,review,rating,date,usefulCount
100825,Orlistat,Obesity,"""These pills are amazing!

I&#039;ve been on them for 3 days and I&#039;ve lost 7lbs already. My start weight was high - 18.5st :(

Only 2 side effects for me, feeling thirsty more often and one urgent trip to the bathroom after salmon.""",9,42326,35
139178,Phentermine,Weight Loss,"""This drug is amazing. I lost 20lbs in 2 months.""",10,39700,50
165298,Phentermine / topiramate,Weight Loss,"""I have been on every diet known to man kind.  I have been told by my physician that if I don&#039;t do something, I am going to become diabetic.  I went to my doctor when I heard about this medication and was told he did not write diet pills.  He told me I needed to exercise more and eat better.  He said It would only give me temporary results.  However, after reading everything I could find on Qsymia, I found that it is indicated for long term use.  I figured I would have a better chance eating right if I weren&#039;t starving and battling cravings every time I tried.  I actually changed doctors because I felt my doctor was minimizing my issue.  He won&#039;t treat my obesity but he will let me become a diabetic! I have lost 17 lbs in 2 months.""",10,41336,113
138923,Phentermine,Weight Loss,"""I&#039;m a 39 yr old man 6&quot; 250 lbs.  Started phentermine 37.5 November 30th, my doctor put me on one pill in the morning and a half in the afternoon. I have lost 5.4 pounds in a week. Side effects with me are dry mouth, hard to sleep the first few nights, slight tingling in my arms. It does suppress my appetite and that&#039;s what I need.""",8,40153,7
178597,Victoza,Weight Loss,"""I have been taking this for 2 months and have not lost any weight. Haven&#039;t had any side effects but it&#039;s not helping with weight loss. Anyone else have this experience. Started out on 0.6mg and moved up to 1.2mg three weeks ago and still nothing. Only problem I have is extremely bad constipation""",4,42872,17
38995,Contrave,Weight Loss,"""It worked immediately. I made healthier choices. I didn&#039;t have any junk food cravings not even think about them at all. Within 2wks I lost a good 16-18lbs! I loved the new me!! The healthier looking me!!""",8,42962,27
39589,Contrave,Obesity,"""Been on Contrave for 30 days. I was 283 at 5&#039;7 but now 272. Am disappointed b/c I did a 180 degree change on my diet, exercised daily and only lost 11 pounds in 30 days. I am going in the right direction. I didn&#039;t have the constipation or nausea. I am pretty &quot;foggy&quot; still. But I have thyroid issues and have an appt. for that on the 23rd of February and hoping to get regulated and maybe I&#039;ll have more success at losing weight. I&#039;m not giving up though!""",9,42403,23
128788,Phentermine,Weight Loss,"""I loved the product! I started June 1, 2014 to August 2014. IN 2 MONTHS I HAD LOST 30 LBS! I was doing Zumba 3 times a week and had a personal trainer to help tone my body with my new found ENERGY. The Personal Trainer was a waste because Adipex with Zumba was doing a tremendous job all on its own. I wasn&#039;t craving sweets thanks to Adipex. I cut out fast foods, carbs, and late night eating. Plus I drank anywhere from 1/2 to a gallon A DAY! However, the medicine still made me constipated. I started at 244 and got down to 209lbs. I stopped using it for about 5 months AND THE WEIGHT STAYED OFF, while not eating so healthy. """,10,42028,91
52042,Adipex-P,Weight Loss,"""I&#039;m not exercising at all. I&#039;m just eating right. I have been on it 6 days now and I&#039;ve lost 9 pounds. 1300 calories a day !!!""",10,41959,212
138646,Phentermine,Weight Loss,"""Today is my 2nd day taking this pill.  I have had dry mouth and was unable to sleep throughout the whole night last night.  I do not feel energy at all, in fact, since I didn&#039;t sleep, I didn&#039;t even want to get out of bed today.  I&#039;ve had a bad headache today, and feel a bit nauseated too.  I&#039;m going to keep trying it, but just wanted to go over some side effects after my 1st day on it.  I hope to lose weight though""",5,40976,1
145619,Qsymia,Obesity,"""I began taking this medication in September 2014. I used it for 6 months and lost 50 pounds. I had a few side effects such as constipation and loss of sleep, but both were very manageable. This medication reduced my appetite so much that at times I had to force myself to eat just to make sure I was taking in at least 1000 calories a day as directed by my doctor. I went off the medication and gained about 10 pounds back, so now I am restarting the medicine after being off a while. It&#039;s no miracle drug, but it is a great tool.""",8,42383,19
54827,Bupropion / naltrexone,Weight Loss,"""Well just have start by saying so far so good.  I have read other comments and was scared to start this but it is day 2 and I feel great.  I had no side effects, since I told my doctor that I binge eat at night she advised to take the pill around 5 PM.  7:00 o clock came around and I had no desire to look for a snack or have a cup of coffee.  I started to pack my kids lunches and didn&#039;t touch a snack which was something I always did.  I had Gastric Bypass in 2003 starting weight was 305 got down to 165 at my lowest, which was great since I&#039;m 5&#039;6 and at my lowest I wore a size 6.  I saw the doctor because I started gaining weight and presently are up to 216 lbs.  I refuse to gain it all back.  I will get write again in a week.  Good Luck""",9,42782,30
55376,Bupropion / naltrexone,Obesity,"""I have been taking Contrave for three weeks and two days now, and as of this morning lost 17 pounds! I am also on a low to no carb diet, only what sugars are in fruits and veggies. I haven&#039;t walked as often as I need to, but plan to do that more. I had a little nausea at first, probably from the meds and from eating no carbs. I am so thrilled! I have 70 more pounds to go, but I am determined to do this. I am hypothyroid for last 15  years, so was skeptical that anything would help me. This has been great for me!!! Good luck to all! I received a coupon from my doctor and had to go online to register. This coupon saved me $230. I paid $70. The pharmacy originally said it was $300. There was NO WAY I could do that.""",10,42313,13
39162,Contrave,Weight Loss,"""In a few days short of 6 weeks, I&#039;m down 26 lbs.  Granted I have about 50 lbs more to go.  I have experienced a fair amount of nausea.  It was pretty bad, but it is getting better. I&#039;m drinking more water than ever, partly because it seems to reduce the nausea.  The side effects are a little severe for me, but I like the results so I will march on.""",9,42858,12
77080,Lorcaserin,Obesity,"""I have been taking this medicine for 2 weeks now and have gone from 330 pounds to 320. That&#039;s a huge deal for me because I have Polycystic Ovarian Syndrome and typically cannot lose weight. It suppresses my appetite so much that I have to remind myself to eat. I have had no side effects at all and haven&#039;t increased my exercise. I am very happy with Belviq. Hopefully it continues to go well.""",10,42030,50
4295,Belviq,Weight Loss,"""I started Belviq 3.5 weeks ago. I tried sorting through reviews just like you are, to see if the $85 a mo. after coupon was worth it. I found it difficult because too many reviewers left out their gender, weight &amp; height so I just decided to just try it.  With that being said, I&#039;m a 5&#039;1 female with a desk job weighing 163 to start. I now weight 157. This medication suppresses my appetite slightly, but it suppresses my cravings a lot &amp; I don&#039;t give like before. The first day I thought I wasted $85 because the headache was awful. It subsided the next day. I do feel sleepier at night, so I haven&#039;t worked out at all, I&#039;m going to purchase another month &amp; add  Exercise. I&#039;m also on a 1200 cal diet that I track on my fitness pal""",7,42881,43
165170,Phentermine / topiramate,Weight Loss,"""Started on 11/14/14, at 227.8 lbs at 5&#039;6&quot; tall - 8 months later I have lost 51 lbs, am now 176.8 lbs. I have gone from a size 16 to a 10-12 depending on the brand. Side effects are dry mouth (solved by drinking a ton of water) and tingling in feet, which I notice more as it becomes time to take the next dose in the morning. Qsymia definitely curbed the snacking, the over eating, etc. Changed the way I eat, increased fresh vegetables, cut carbs (no bread, limited starch, etc.) and stopped eating processed foods. Began to cook dinner more, to control the butter, oil, cooking method rather than relying on the quick fix of takeout. This has made a HUGE difference. Increased activity as well. I can see my curves again. 20 lbs. to go!""",10,42184,64
145757,Qsymia,Obesity,"""I&#039;m done!  Qsymia has helped me reach my goal!  Started Sept. 2013, 52 yo female with 3 kids, 5&#039;4&quot; weighed 198 lbs.  Now I am 145 lbs, look and feel great. With the help of Qsymia I have learned how to control my calorie intake yet still feel full and be able to eat everything I like - just the healthy versions.  I hope I will be able to maintain this without taking the medication anymore...We&#039;ll see!""",10,41909,113
139104,Phentermine,Weight Loss,"""I&#039;ve been using phentermine to lose the remainder of my baby weight. It&#039;s been 2 weeks and I have lost 14lbs I do exercise and already eat right but after I lost the first 50lbs, I turned to this for a plateau breaker it broke my plateau and its helping me get back within navy standards with nothing to worry about. I recommend this to anyone who fully understands the effects of this controlled drug and has a very good understanding of healthy eating and the importance of exercise. Please note that this is a temporary medication - it is not meant to be used past a 12 week period during this time you are supposed to learn how to make healthier lifestyle choices. """,10,39839,30
4802,Belviq,Weight Loss,"""I am surprised at my 24lb loss in the last 3 months and 2 weeks to be honest. I thought Belviq was over priced and just another miracle pill.  With a lower carb diet and less food intake alone  (no &quot;real&quot; exercise) I am dropping weight very easily.  This stuff is great!""",9,42078,152
76408,Liraglutide,Obesity,"""I&#039;m a 45 yr old female, 5&#039;6&quot; tall, and my starting weight was 220 when I weighed in at the doctor&#039;s office on August 31st. I have some health concerns that lead my doctor to prescribe this for me. My doctor helped to administer the first dose so I would know what to do the next day. 
I felt okay the first 2 days with little side effects. The 3rd day I couldn&#039;t stand the smell of bacon. Who doesn&#039;t like the smell of bacon? This girl now! The 4th day I threw up my morning coffee and meds. I have been experiencing constipation as well. I am currently on 1.2mg and on day 9. I&#039;ve lost 5 lbs so far so I&#039;ll keep dealing with the side effects. I did start to inject at night to help with the nausea. I am very hopeful this medication will do the job!""",10,42987,16
76913,Lorcaserin,Weight Loss,"""I&#039;m just starting week two of the 15 day trial.  I&#039;m down 5 lbs which to me is good, since I had two days I was up slightly, (dang those margaritas).  but I figured on those two days, there would not be any change or a slight increase just because I was eating differently.  I&#039;m thankful that I haven&#039;t had the headaches, or dizziness.  I have been extremely tired and hoping that this will soon pass. I have noticed that I do eat a lot less then I usually would and I crave fruits and veggies.  Hoping to stay on track better this week, but I&#039;m loving it so far :)""",10,42152,22
127805,Phentermine,Obesity,"""Just started Phentermine, I weight 284lbs!! I am 28 years old. This is the heaviest I have ever weighed. I want my life back in control and I want to feel beautiful again! Wish me luck!!""",10,42764,15
4674,Belviq,Obesity,"""I had a slight headache the first day. Then i was fine. No sleepy side effects. I have been taking it for 1 month and i lost 15lbs. I have always eaten healthly. I have not started exercising yet. I only take 1 pill a day.""",10,42177,42
145808,Qsymia,Obesity,"""I have lost 34 pounds since June 10 (almost 14 weeks). On the 7.5 mg level I suffered many of the side effects. My doctor suggested I go back to the beginning dosage of 3.75 mg and I feel so much better. The mental fog, insomnia and chronic constipation and headache are gone. I am still losing 1-2 pounds a week. My appetite is under control and sweets hold little appeal. I still recognize an emotional longing to eat when I am stressed or in the evening when watching T.V. """,9,41532,73
4689,Belviq,Obesity,"""Weighed 270 on 5-8-15! 8 days later I weigh 263. If I take it early before 9 am I feel drunk or really tired but if I take it later after 9-10 am I feel ok! Im excited to see how this goes if I can afford it! With out insurance coverage its $305.00 month! Very expensive but I almost say its worth it as long as I&#039;m loosing weight in a decent timely manner! Light exercise but I work up a  sweat and drink lots of water""",9,42138,19
77270,Lorcaserin,Weight Loss,"""I have been taking Belviq for 5 days and have lost 6 pounds effortlessly. I have an injury and can&#039;t exercise. I have tried everything under the sun to loose weight before. I am getting married in May and need to loose 50 lbs plus. Plan on being on this med indefinitely. And for $200/ month out of pocket, its worth it to me!!!! Good luck, and God bless!""",10,41567,49
81878,Liraglutide,Obesity,"""I was unable to get rid of my baby weight after having my 2nd child and heard about saxenda. After much thought I decided to consult my doctor who was not oppose to me trying it. I&#039;ve been on saxenda now for almost 2 months. I havent experienced any side effects I started with .06 and now on dose 3.0. After one full month  I weighed myself and I&#039;ve lost 10lbs. I&#039;ve decided to weigh myself monthly so I will check in a few weeks my process! Oh and my insurance has picked it up but only for a limited time I have 2 more refills left!""",9,42701,33
185570,Saxenda,Obesity,"""My starting weight was 297. Now two weeks later I&#039;m 283. After each increase I did have nausea and vomiting for a day or two. I thought I would have to stop and then I discovered Pepto-Bismol.  My second day of Pepto-Bismol I felt like a new man. According to the label you can have 2 tablespoons up to eight times a day which means every couple hours. This really made a difference in the side affects. I rated it a 9 only because of the side effects other than that I&#039;m 100% satisfied with this new medication!""",9,42733,32
4820,Belviq,Weight Loss,"""I have been on belviq for two weeks and am down seven pounds. I&#039;m excited to see how much I can lose. 
I have struggled with weight off and on over the years but I have four kids and have not paid much attention to my own health. The side effects are minimal. I think it is pricey but it works and that makes it worth it.""",10,42059,118
76802,Lorcaserin,Weight Loss,"""Just started belviq 1.5 weeks ago.  No changes for the positive yet.  Never been so exhausted in my life, if the fatigue continues this bad I will stop taking med.""",1,42444,11
100932,Orlistat,Obesity,"""I began taking orlistat, Xenical 120mg three times a day with meals for the treatment of obesity. I am 18, female and weighed 21stone 9lbs as of 22/07/13. I have been taking the Xenical for just a week and have experienced very few side effects slightly more gastric distress (flatulence and the occasional oily excrement but that is as a result of my ignorance to food and fat) but I am delighted to find that after only a week I have lost 14pounds and now weigh 20stone 9lbs I appreciate that I am still overweight, but I have lost 1 stone and 9inches in total from various areas of my body and am extraordinarily surprised to find myself revealing in such success. """,10,41484,72
145894,Qsymia,Obesity,"""5&#039;8&quot; 220lb female. Currently on day 9 of the 14 day low dose trial. I have lost 5 lbs. so far. I have been doing a low carb diet since I started Qsymia and find I have 
very little appetite. I&#039;m comfortable with a protein bar or a piece of cheese or meat for my meals. I drink plenty of water as diet drinks taste flat and extra sweet. I too have no desire for what was my favorite indulgence of a glass or two of wine at night. I read somewhere Qsymia is used to treat alchoholism and I can see why. Today was the first day I felt a bit hungry, so I&#039;m thinking of moving to the next higher dose a few days early. My goal is to lose 60 lbs and lower my extremely high cholesterol so I don&#039;t have to go on meds. I also find I have a decent amount of energy.""",8,41340,69
138373,Phentermine,Weight Loss,"""I started taking phentermine on February 14, 2014, Since then I have lost at least fifteen pounds and it has not even been a whole month yet, this is awesome, I work night shift so it keeps me up all night and gives me plenty of energy, I hardly ever get a chance to work out because I have three children that crave a lot of attention, this stuff is the best thing since sliced bread! I don&#039;t think about eating, I will force myself to eat a little bit of something healthy every few hours, the side effects were scarey the first two days but after that my body pretty much got used to them. Anyone looking to lose weight this is most definitely a jump start way!""",10,41699,32
108431,Bupropion / naltrexone,Obesity,"""On week 3 and a half.  Have learned most my &#039;side effects&#039; are from being hungry from forgetting to eat, caffeine withdrawal from no longer needing 6  cups a day for a bit of energy.  Now, I eat small amounts of healthy foods that taste so good to me and dont make me feel sick.  Foods I used to eat now make me nauseous.  I have plenty of energy. Small amounts now give a full feeling.  I enjoy slow eating now and all the tastes.  I got dry mouth at first but now don&#039;t as I drink water like everyone says you should.  Only now I enjoy it.  I was irritable the first two weeks but think that was the caffeine withdrawal.  No longer need a secret sugar or pasta fix either.  Lost 12 pounds first two weeks.  Each day losing 1-3 pounds.""",10,42102,30
127894,Phentermine,Obesity,"""I am 227 lbs and 5&#039;3&quot;. I started taking the Adipex 37.5 today (11-18-16) at 7:30 am. I could tell that I took it because I was very talkative, and not energetic as in bouncing off the walls or nothing, but more like I actually had the energy to do my work and I was really focused on it. Done more today at work than I done all week. Only thing I have a problem with is when I ate it felt like I slowed down, and all my energy was gone. Maybe it want be like this the whole time. I will keep ya&#039;ll updated on my progress.""",10,42692,24
139150,Phentermine,Weight Loss,"""I am 5&#039;2 and 210lbs as of yesterday. I have been taking Phentermine 15mg for 30 days only. Today is my 2nd day and I have only experienced dry mouth and a little more energy. I have read that people have a lot more energy and don&#039;t think about eating. Well yesterday I took the 1st pill at 5.55am and I was hungry by 10.30am and sleepy again by 12noon. I tried taking a nap around 7 but couldn&#039;t get to sleep. Went to bed around 11.30pm slept fine. I am hoping to lose 65lbs but I will settle for 55lbs. I just wish the doctor would have started me on a higher dosage. I am drinking a lot of water and I plan on working out on the Wiifit for 1 hour a day. I will write back in 2 weeks if I lose any weight.""",8,39919,3
128091,Phentermine,Weight Loss,"""I am a 31 yr old female, I weighed in at 207lbs and a height of 5&#039;3. I started taking Phentermine 30mg around May 15th. I went in for a 30 day check up and I was down 17lbs. I wasnt hungry at all, most days I wouldn&#039;t feel like eating untill lunchtime, then I would take a pill with a bottle of water before lunch then eat a small lunch, and an even smaller dinner.  I would try to walk for 20-30 minutes a day, sometimes more, sometimes I wouldn&#039;t get a chance to walk at all. The doctor was very pleased, as was I. He perscribed me for another 30 day perscription... But... I have done everything the same this round and haven&#039;t lost any weight at all. I have even threw in some extra walking. Has anyone else experienced this?""",8,42564,7
76673,Lorcaserin,Weight Loss,"""Well I&#039;m coming upon my one year anniversary of using Belviq and l have lost nearly 50 lbs.  I lost faster in the beginning and now I am down to maybe 1-3 lbs a week.  I have lost slowly due to being disabled and I can&#039;t walk without my walker because of a botched bilateral knee and hip replacement a little over a year ago.  Exercising is mostly out for me.  I&#039;m 62 and 5&#039;6. The Belviq is not keeping me as full as it did in the beginning but I don&#039;t want to stop it because I&#039;m afraid I will stop losing all together.""",8,42810,1
100879,Orlistat,Obesity,"""Just been back for my 2nd months of tablets.  Lost 10lb in the 1st 3 wks
of being on Xenical &amp; gone from an size 18 to a comfortable 16. Eating more healthily, but need to start exercising if this is going to work properly. It doesn&#039;t work for everyone, but definitely worth trying if you&#039;re struggling with your weight.""",10,41803,174
116050,Lorcaserin,Obesity,"""I had gained 100 pounds over the last 4 years due to having my son, and hormone imbalances, and nothing has worked in the past. I&#039;m currently on the 15 day free trial and I was very suspicious of a drug like this. However, I am on Day 13 and I have lost a total of 11 pounds in just under 2 weeks! I cannot be happier. I did not have any of the symptoms listed on some of the other posts (dizziness, headaches ect.) I do have a little bit of dry mouth which just forces me to drink more water. My insurance doesn&#039;t cover this, but I have the $75 copay card, which is a god send, because the medication is usually well over $200""",10,42228,36
52277,Adipex-P,Weight Loss,"""I started Adipex on March 11, 2009.  When I weighed in I was 283lbs.  It is now March 31, 2009 and I weigh 270lbs.  I love the pill.  I have been eating healthier and also working out on my Wii fit as well. Will suggest this pill to anyone who wants to lose weight.""",10,39903,33
145622,Qsymia,Weight Loss,"""I&#039;ve been on Qysmia for a week. I&#039;m 42, f, 5&#039;0 @160lbs. Tried trainers, diets, lipo, nutritionists, weight watchers, etc and have only seen my weight steadily increase towards my family&#039;s inevitable diabetic history.

I&#039;ve had the mild headache the first 2 days although I&#039;m not sure how much of it was real and how much of it was me being overly sensitive to the long list of side effects. I drank more water and felt better.  Definitely didn&#039;t sleep well but took a mild homepathetic remedy for that and that&#039;s improved. Felt a little dizzy a few times but nothing that would deter me. I&#039;d rather lose this weight than fret over being dizzy. I&#039;m down 3.2lbs in 7 days. I&#039;ll update as I go. Good luck everyone and drink plenty of water!""",9,42369,49
54772,Bupropion / naltrexone,Obesity,"""This medication is extremely expensive.....It makes you think why most insurance doesn&#039;t cover it...Since I paid almost $200 my expectations are extremely high now...My dose starts today!""",1,42805,11
55080,Bupropion / naltrexone,Weight Loss,"""I lost 7 pounds in a little over a week taking Contrave. Contrave definitely gave me the extra boost that I needed. I walk 4,000 steps per day and have been eating healthy by choosing healthy foods and counting my calorie intake. For the first week getting used to the medication was a little difficult, I felt dizzy and a little nauseous but I feel no side effects now. My blood pressure is normal again and I feel great and confident about the days to come! I would recommend Contrave to anyone who&#039;s having a hard time losing weight!""",10,42503,20
100915,Orlistat,Obesity,"""Just over 4 weeks ago I started taking Xenical that my doctor prescribed me. On the day of started I was 23 stone 13 lbs, I am now 22 stone 5lbs, so I have lost 21lbs in just over 4 weeks! I was sensible enough to read online reviews and decided to make sure I eat as less fat as possible. When I&#039;m hungry at lunch I occasionally had a egg and bacon sandwich but cooked in no fat and using fry lite spray, cut the fat off the meat. I have a sensible normal dinner and breakfast sometimes toast with no butter with a banana inside or a couple slices ham. I have cut out all the junk. Side effects for the first few days slight tummy cramp and very occasionally a looser stool when going to the toilet, but no other side effects at all.""",9,40222,140
38016,Adipex-P,Obesity,"""I started taking it today and have seen a dramatic difference in cravings...they are non existent..I can&#039;t even finish my meals because I have no urge too. I see with this medication I am going to have to make myself eat. The energy boost it a major plus and because the energy boost is so strong in the morning I am going to change to morning workout for the duration of this medication. I previously lose 60  on my own but the doctor said I needed it to come off quicker. I&#039;m 5,5 , 255 lbs...will be updating regularly..""",10,42668,29
4603,Belviq,Obesity,"""I have been on this med for a year, lost 7 pounds but the serotonin syndrome symptoms are not worth it.  I have had no energy, profuse sweating, high blood pressure and consistently high rate.  I have been off for 2 days.  I had trouble with sleep, episodes of crying, and exhaustion but my blood pressure is better andy heart rate is already in the 80s resting instead of 100s.  Tonight I feel better, though I have had a difficult ultimate 2 days. I hope the worst is over.  This drug is not worth the risk and side effects.  I&#039;m getting out of this clinical trial.""",1,42278,17
185551,Saxenda,Obesity,"""I started Saxenda in November 2016, the week before Thanksgiving. It is January 31, 2017. I am 5&#039; 1&quot; and when I started Saxenda I weighed 205 lbs. I now weigh 178 lbs. I have been able to come off of my blood pressure meds and I no longer need my CPAP when I sleep at night. I have less joint pain and I no longer get winded walking up a flight of stairs.The only side effects I&#039;ve experienced are nausea with each titration up of the medication, mild headache the first few weeks, nasty sulphur burps, and diarrhea. I haven&#039;t had any constipation. None of the side effects were severe enough to make me consider stopping the medication.""",9,42766,51
77200,Lorcaserin,Weight Loss,"""It has been approximately 3 months and I am down 12 lbs. The side effects are minor and well worth the loss of weight. Although the weight loss has been slow, I never felt deprived of food ONCE. I plan to stay on it for a year as I have another 40 lbs to go. This pill definitely decreases my appetite. I have experienced a few headaches and yes, the coughing, but compared to having a heart attack from being overweight, I am fine with that. If you are overweight, I think you should give this medication a try for at least a month or two. Also, never felt jittery at all on this. The biggest downside is the cost. I think that is part of the plan - it costs so much that you can&#039;t afford food after paying for it. They offer a $75 off coupon.""",9,41779,80
54668,Bupropion / naltrexone,Weight Loss,"""I&#039;ve been on Contrave about a week now and I am eating less and the only side effect I&#039;m dealing with is sleepiness.  I sleep fine at night but during the day I can barely keep my eyes open.  I&#039;m sticking with it because I read the side effects typically go away, but, until then, I&#039;ll be sleeping at my desk.""",7,42852,3
138860,Phentermine,Weight Loss,"""Started this medicine 6 weeks ago and have lost 10 lbs. I have been watching my diet and walk/jog 2.5 miles 5 days a week with other exercises. I have a hypothyroidism making it very difficult to lose weight. Was on this medicine one other time 1.5 years ago for a month straight and realized that my body is immune to it after one week.  Now I take it 1 week on, 1 week off.  I notice lots of energy and dry mouth and a happy feeling for the first 4 days and then I start feeling sad, which then goes away in about 4 more days. I have also noticed vision changes in my right eye which I plan to see my eye doctor about.  All in all I recommend Phentermine as I would never have lost the weight or had the energy to make the necessary changes.""",8,40405,1
128841,Phentermine,Weight Loss,"""I started Adipex a year ago. Lost 50lbs in 3mos. Then got pregnant. Had him 2 months ago. And only gained 15lbs during and lost right away. But I still didn&#039;t reach my goal. So I&#039;m on it again. I&#039;m on day 4 and down 5lbs. I love this pill! Never exercised or dieted before but I&#039;m going try this time.""",10,41884,155
108542,Bupropion / naltrexone,Obesity,"""I have been taking this medicine for 2 weeks now and I have lost 5 lbs. I really haven&#039;t completly changed my diet as of yet just cut back; But I am happy to report that I have not experienced any side affects at this time. For the ones with nausea I suggest eating a few saltiness crackers and plenty of water. Good Luck on your new journey""",7,42024,64
185343,Saxenda,Obesity,"""Been on for 3 weeks lost 3.5 kg. I have some nausea but still pretty hungry! Have to pay $400 per month I&rsquo;ll keep going""",5,43018,10
108189,Bupropion / naltrexone,Obesity,"""I&#039;ve been taking Contrave &amp; part of the scaledpwn program for about 4 months. I&#039;m 5&#039;6&quot; &amp; my starting weight was 190. I&#039;m currently at 173-175. My weight loss was gradual but noticeable by others. I feel pretty good most of the time but I have struggled with pretty severe headaches in the afternoon/evenings so I think I will taper back down to one pill in the am &amp; pm. I was taking two in the am, two in the pm. My husband thinks taking this is ridiculous &amp; wants me to stop. He says I look great &amp; taking the medicine makes me moody. I&#039;m not sure about that but I&#039;m struggling with weather to continue trying to loose more or stop. For now I think I will taper down &amp; see what happens. I wish my insurance covered the cost because it&#039;s $60 per bottle.""",8,42273,12
108354,Bupropion / naltrexone,Obesity,"""I started taking Contrave about a month and a half ago and I am down about 7 lbs. I did not notice much weight loss in the first month because I was actually taking the medication as prescribed. I am 5&#039;6 about 154lbs. I only want to drop about 20lbs for my wedding and I was told this is not habit forming. I exercise and I am on a low cal diet. This medication does not curb my appetite but it does curb my intake which I LOVE. I don&#039;t want to stop eating all together and gain all the weight back as soon as I stop taking it.  This medication still lets me eat but not as much. I am on the second month and I notice I am losing about 3lbs a week which is a healthy way to lose weight. Every now and then I will get a headache but overall...GREAT!!""",10,42150,36
39254,Contrave,Obesity,"""I&#039;m a 56 years old, 5&#039;2&quot; 230 female (or I was when I started Contrave).  After reading all of the reviews, I was terrified of the side effects, but I had to have something that might help me shed some weight. To date I&#039;ve experienced little to no side effects and have lost 11 lbs going into my 3rd week. Probably my only complaint is that I do get sleepy from time to time, but nothing that isn&#039;t manageable.  I&#039;m more able to resist my favorite foods and I have the energy to get up and move now.  Let&#039;s hope this is the continued trend.""",9,42817,26
